Hour,Weekday,Month,NumVehicles,RoadClass,RoadSurface,LightConditions,WeatherConditions,VehicleType,CasualtySeverity
21,5,12,2,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
2,6,6,1,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
20,7,10,3,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
18,2,3,2,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
21,5,3,2,A,Dry,Darkness: no street lighting,Fine without high winds,Taxi/Private hire car,Slight
21,5,3,2,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
22,4,6,1,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
23,1,7,1,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
23,6,7,1,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Minibus (8 – 16 passenger seats),Slight
23,6,10,2,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
23,6,10,2,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
0,6,4,1,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
23,2,4,1,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
23,2,5,1,A(M),Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
2,3,6,2,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
0,4,8,2,A,Dry,Darkness: no street lighting,Fine without high winds,Car,Slight
22,1,11,2,A,Dry,Darkness: no street lighting,Fine without high winds,Pedal cycle,Slight
16,1,11,2,Unclassified,Dry,Darkness: no street lighting,Fine without high winds,Pedal cycle,Slight
21,2,1,1,A,Frost / Ice,Darkness: no street lighting,Fine without high winds,Car,Slight
22,5,2,1,A,Frost / Ice,Darkness: no street lighting,Fine without high winds,Car,Slight
21,3,2,1,Unclassified,Frost / Ice,Darkness: no street lighting,Fine without high winds,Car,Slight
6,5,12,2,Unclassified,Frost / Ice,Darkness: no street lighting,Fine without high winds,Car,Slight
6,5,11,1,Unclassified,Frost / Ice,Darkness: no street lighting,Fine without high winds,Car,Slight
5,2,2,2,A,Frost / Ice,Darkness: no street lighting,Fine without high winds,Car,Slight
7,4,12,5,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Serious
21,2,1,1,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Serious
6,5,12,8,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Serious
7,3,1,2,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Pedal cycle,Serious
21,5,11,1,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Serious
0,1,11,1,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Serious
18,5,11,3,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Serious
7,1,1,1,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
18,7,1,2,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
21,6,1,2,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
21,6,1,2,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
2,5,3,1,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
1,7,4,1,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
23,3,11,1,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
6,5,12,8,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,Goods vehicle 7.5 tonnes mgw and over,Slight
6,5,12,8,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
18,4,2,2,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
0,6,4,1,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
6,1,10,1,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
20,3,10,1,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Motorcycle over 50cc and up to 125cc,Slight
16,5,12,2,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
16,5,12,2,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Other Vehicle ,Slight
19,6,12,2,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
7,3,2,1,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
7,5,1,2,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
7,5,1,2,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
6,4,11,1,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
20,2,1,1,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
17,5,11,2,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
22,7,5,1,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
21,2,11,1,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
18,5,11,3,A,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
15,1,11,1,A(M),Wet / Damp,Darkness: no street lighting,Fine without high winds,Goods vehicle 3.5 tonnes mgw and under,Slight
7,4,12,5,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
7,4,12,5,Unclassified,Wet / Damp,Darkness: no street lighting,Fine without high winds,Car,Slight
22,5,8,3,A,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 50cc and up to 125cc,Serious
17,7,5,3,A,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 125cc and up to 500cc,Serious
20,3,8,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Motorcycle over 500cc,Serious
18,7,4,2,A,Dry,Darkness: street lighting unknown,Fine without high winds,Car,Serious
